Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
100304;O-Ring 50 x 4,0 mm für Thermostat 1,5 bis 1,8L Hubraum OE Ref. 038121119B;HL;2-M1-404-1;yes;10
100305;O-Ring, 36,0 x 3,15 mm, für Kunststoff Kühlwasserflansch, T4, OE Ref. 037121687;HL;2-M1-403-5;yes;32
100306;Schaltstange 4 Gang ab 1,6L Hubraum Golf 2 &CO OE Ref. 191711595;HL;2-N3-701-2;yes;31
100307;Klemmfeder für Hosenrohr/ Krümmer, Golf &Co OE Ref. 161253111;HL;2-M1-102-3;yes;5
100308;Dichtring Abgasanlage Cabrio und T3, OE Ref. 431253137A;HL;2-M1-104-6;yes;1
100309;Halteband für Hutablage Golf 2 OE Ref. 191863447;HL;N-05-4-2-3;yes;16
100310;Montagesatz incl. Radlagerkappen der Hinterachse, passend für Caddy 1 OE Ref. 8D0501249;HL;;no;0
100311;Schalter für Nebelscheinwerfer und Nebelschlussleuchte Golf 2 & Co OE Ref. 191941535B;HL;;no;0
100312;Kühlwasserschlauch, Kühler zu Wasserpumpe unten, Golf 2 mit Klima oder TD, OE Ref. 191121051P;HL;2-H2-705-2;yes;2
100314;Schaltstange Golf 2 &Co ab 1,6L Hubraum OE Ref. 191711574;HL;2-N3-701-1;yes;18
100316;Schlüsselrohling mit N Profil für den VW T3  OE Ref. 251837219A;HL;2-O5-503-1;yes;4
100317;Hitzeschutzblech für Schaltgestänge OE Ref. 171711081;HL;;no;0
100318;"Schriftzug """" Polo"""" für Baujahr 81 bis 90 OE Ref.867853687";HL;2-N3-402-4;yes;1
100319;Kennzeichen-Leuchte, Original HELLA, Golf 1 &Co, OE Ref. 171943021B;HL;2-N7-604-1;yes;15
100320;Bremsleitungssatz für Golf 2 Country ohne ABS;HL;;no;0
100321;Bremsleitungssatz Polo bis Bj. 81 ohne Bremskraftverstärker;HL;;no;0
100322;Handbremsseil VW T3 Syncro Rechts 14 Zoll OE Ref. 251609702;HL;L-17-13;yes;1
100323;GTI Emblem für Kühlergrill mit 5 Rippen ab Bj. 1988, OE Ref. 191853679L;HL;2-N3-504-1;yes;3
100324;Lager für Stabilisator 19 mm vorne Golf 2 &Co OE Ref.191411314;HL;2-L3-403-4;yes;16
100325;Tankdeckel, mit Schlüssel, Golf 2 &Co, ohne Zentralverriegelung, T4 Bus, OE Ref. 191201551A;HL;N-03-2-1-3;yes;2
100327;Kühlwasserschlauch Thermostat nach Kühler oben Golf 1 & Co bis 1,3L  OE Ref. 171121101N;HL;2-G2-505;yes;4
100328;Schalter für Rückwärtsgang M12 x1,5 mit Kombistecker, Golf &Co, T3 & T4 Bus OE Ref. 020945415A;HL;2-N1-205-2;yes;2
100329;Verschlussschraube, M24x1,5 für Schaltgetriebe, Golf & Co, OE Ref. 111301127E, 012301127F;HL;2-M5-402-4;yes;4
100330;Umlenkwelle Schaltung, Golf 2 ab 1,6L, OE Ref. 191711173B;HL;2-N3-704-3;yes;17
100331;Bremsleitungssatz Polo bis Bj. 81 mit Bremskraftverstärker;HL;;no;0
100332;Bremsleitungssatz Polo bis Bj. 81 mit Bremskraftregler;HL;;no;0
100333;Bremsleitungssatz Polo ab Bj. 81 mit Bremskraftverstärker;HL;;no;0
100334;Dichtung für Türkontaktschalter Golf &Co, Passat und T3, T4, OE Ref. 113947565A;HL;2-N9-604-1;yes;33
100335;Achsmanschette Außen, inkl. Montagematerial, Golf & Co, Polo, Passat OE Ref. 171498203;HL;2-L2-502;yes;6
100336;Spurstange, komplett mit Spurstangenkopf, Golf 1 &Co ohne Servolenkung, OE Ref. 171419804;HL;3-B4-401;yes;2
100337;Heckscheibendichtung Golf 1 ohne Nut für Keder OE Ref. 171845521;HL;2-G9-502;yes;4
100339;Schalter Rückfahrleuchte M 12 x 1,5 mm für 6,3 mm Stecker OE Ref. 020941521A;HL;2-N3-303-1;yes;3
100340;Pierburg Kraftstoffpumpe für Vergaser mit 0,9L bis 1,3L Hubraum OE Ref. 052127025J;HL;2-L2-702;yes;1
100341;Kraftstoffpumpe für Vergaser 1,5 bis 1,8L Hubraum OE Ref. 056127025B;HL;2-L2-701;yes;2
100342;Blinker in Weiss komplett mit Streuscheibe OE Ref. 171953055;HL;;no;0
100343;Blinker komplett in Rauchgrau mit Streuscheibe OE Ref. 171953055;HL;;no;0
